Date : 2026-05-18 02:17:12
Directory : /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib
Total : 65 files,  2590 codes, 566 comments, 506 blanks, all 3662 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/core/l10n/generated/app_localizations.dart                             | Dart     |         74 |        124 |         31 |        229 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/core/l10n/generated/app_localizations_en.dart                          | Dart     |         35 |          3 |         18 |         56 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/core/l10n/generated/app_localizations_es.dart                          | Dart     |         35 |          3 |         18 |         56 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/core/l10n/generated/app_localizations_pt.dart                          | Dart     |         35 |          3 |         18 |         56 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/core/routes/auto_route.dart                                            | Dart     |         19 |          3 |          5 |         27 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/core/theme/app_colors.dart                                             | Dart     |         16 |         21 |         14 |         51 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/core/theme/app_theme.dart                                              | Dart     |         30 |          4 |          3 |         37 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/data/data_objects/crypto_quote_dto.dart                                | Dart     |         82 |         27 |         25 |        134 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/data/data_objects/kline_dto.dart                                       | Dart     |         41 |         18 |         12 |         71 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/data/data_objects/preferences_dao.dart                                 | Dart     |         17 |          9 |          6 |         32 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/data/data_sources/crypto_quotes_cache_datasource.dart                  | Dart     |         50 |          6 |          7 |         63 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/data/data_sources/crypto_quotes_datasource.dart                        | Dart     |         39 |          5 |          5 |         49 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/data/data_sources/favorites_datasource.dart                            | Dart     |         11 |          8 |          7 |         26 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/data/data_sources/kline_datasource.dart                                | Dart     |         33 |          5 |          4 |         42 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/data/data_sources/preferences_datasource.dart                          | Dart     |         29 |          7 |          5 |         41 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/data/repositories_impl/crypto_quotes_repository_impl.dart              | Dart     |         47 |          7 |          8 |         62 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/data/repositories_impl/favorites_repository_impl.dart                  | Dart     |         22 |          4 |          6 |         32 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/data/repositories_impl/kline_repository_impl.dart                      | Dart     |         21 |          4 |          4 |         29 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/data/repositories_impl/preferences_repository_impl.dart                | Dart     |         20 |          4 |          5 |         29 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/domain/entities/crypto_quote_entity.dart                               | Dart     |         20 |         13 |          9 |         42 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/domain/entities/favorite_entity.dart                                   | Dart     |          4 |          4 |          2 |         10 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/domain/entities/kline_entity.dart                                      | Dart     |         20 |         11 |          9 |         40 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/domain/entities/preferences_entity.dart                                | Dart     |         21 |         10 |          6 |         37 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/domain/entities/quote_result.dart                                      | Dart     |          6 |          9 |          4 |         19 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/domain/repositories/crypto_quotes_repository_interface.dart            | Dart     |          6 |          3 |          3 |         12 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/domain/repositories/favorites_repository_interface.dart                | Dart     |          6 |          4 |          4 |         14 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/domain/repositories/kline_repository_interface.dart                    | Dart     |          8 |          3 |          2 |         13 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/domain/repositories/preferences_repository_interface.dart              | Dart     |          5 |          3 |          3 |         11 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/infrastructure/api_client/api_client_constants.dart                    | Dart     |          5 |          4 |          3 |         12 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/infrastructure/api_client/api_client_interface.dart                    | Dart     |         14 |          4 |          3 |         21 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/infrastructure/api_client/dio/dio_impl.dart                            | Dart     |         99 |          4 |         10 |        113 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/infrastructure/api_client/models/api_route.dart                        | Dart     |          6 |          4 |          4 |         14 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/infrastructure/api_client/models/http_methods.dart                     | Dart     |          7 |          6 |          5 |         18 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/infrastructure/storage/shared_preferences/shared_preferences_impl.dart | Dart     |        118 |          5 |         12 |        135 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/infrastructure/storage/storage_interface.dart                          | Dart     |         23 |         13 |          9 |         45 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/main.dart                                                              | Dart     |        164 |          6 |         15 |        185 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/presentation/providers/crypto_quote/crypto_quote_notifier.dart         | Dart     |         28 |          6 |          7 |         41 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/presentation/providers/crypto_quote/crypto_quote_state.dart            | Dart     |         19 |         16 |          9 |         44 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/presentation/providers/favorites/favorites_notifier.dart               | Dart     |         47 |         12 |         10 |         69 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/presentation/providers/favorites/favorites_state.dart                  | Dart     |         18 |         18 |          8 |         44 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/presentation/providers/klines/kline_notifier.dart                      | Dart     |         38 |         11 |         10 |         59 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/presentation/providers/klines/kline_state.dart                         | Dart     |         18 |         15 |          8 |         41 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/presentation/providers/preferences/preferences_notifier.dart           | Dart     |         63 |         15 |         13 |         91 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/presentation/providers/preferences/preferences_state.dart              | Dart     |         18 |         15 |          8 |         41 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/presentation/screens/detail/detail_screen.dart                         | Dart     |        271 |          4 |         22 |        297 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/presentation/screens/home/home_screen.dart                             | Dart     |         53 |          3 |          4 |         60 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/presentation/screens/home/tabs/favorites_tab.dart                      | Dart     |         55 |          4 |          8 |         67 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/presentation/screens/home/tabs/quotes_tab.dart                         | Dart     |         60 |          4 |          9 |         73 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/presentation/screens/home/widgets/drawer_widget.dart                   | Dart     |         35 |          2 |          3 |         40 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/presentation/screens/home/widgets/kline_chart_widget.dart              | Dart     |        190 |          8 |         19 |        217 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/presentation/screens/home/widgets/quote_list.dart                      | Dart     |         19 |          5 |          5 |         29 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/presentation/screens/home/widgets/quote_list_tile.dart                 | Dart     |         61 |          6 |          6 |         73 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/presentation/screens/preferences/preferences_screen.dart               | Dart     |        120 |          2 |         14 |        136 |
| Total                                                                                                                               |          |      2,590 |        566 |        506 |      3,662 |
+-------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
